net_id,packet_length,sendIaTime,end_to_end_delay,end_to_end_jitter,package_loss_rate
0,4096byte,exponential(500ms),8081.75216415972,1.496374257631065,0.3521426625827575
1,4096byte,exponential(500ms),7768.91667485715,1.791727574868955,0.4855777078232482
2,4096byte,exponential(500ms),1957.05504613354,4.66128384440335,0.1509815788478269
3,4096byte,exponential(500ms),11579.42994727454,2.3750214318632,0.5044701620162517
4,4096byte,exponential(500ms),19800.564118201,0.86442212126669,0.7965657654254462
5,4096byte,exponential(500ms),12053.86730243992,2.22000949137895,0.5429554791705088
6,4096byte,exponential(500ms),3742.2358631493,2.362418426199306,0.372493484507607
7,4096byte,exponential(500ms),11648.727102190656,1.702719217671,0.5210793537052018
8,4096byte,exponential(500ms),1157.970988460985,2.0397597723517,0.1194124504858351
9,4096byte,exponential(500ms),14270.006081782649,2.8903360555656,0.82070468523215
