net_id,packet_length,sendIaTime,end_to_end_delay,end_to_end_jitter,package_loss_rate
0,4096byte,exponential(100ms),956.0493959499645,2.5840839968897,0.24258498064846648
1,4096byte,exponential(1s),1.00715614415499,3.076476271154567,8.015710793154583e-06
2,4096byte,exponential(1s),492.75871962292126,2.894900357523,0.02033943102454027
3,4096byte,exponential(1s),1547.7511028735926,4.722917247349733,0.07764951516733251
4,4096byte,exponential(1s),3153.4000167345002,2.4115404805066603,0.1551080058457288
5,4096byte,exponential(1s),2900.049240754413,2.8001923687337134,0.14412263441634274
6,4096byte,exponential(1s),5257.085130601818,4.746737622017934,0.21073192599886326
7,4096byte,exponential(1s),7394.095594008733,2.9110854606520333,0.3556649099498673
8,4096byte,exponential(1s),5275.537907089752,1.2689082129153,0.21171203581564535
9,4096byte,exponential(1s),0.6162320016948067,2.3247045211804997,1.2022987952966072e-05
